2015-03-20 10:17:48,776 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-egit does not contain lifecycle mapping metadata
2015-03-20 10:17:48,783 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subversive does not contain lifecycle mapping metadata
2015-03-20 10:17:48,785 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.m2e.discovery.lifecyclemapping.m2e-subclipse does not contain lifecycle mapping metadata
2015-03-20 10:17:48,815 [ModalContext] WARN  o.e.m.i.discovery.MavenDiscovery - CatalogItem org.eclipse.xtext.m2e.xtextConfigurator does not contain lifecycle mapping metadata
2015-03-20 10:17:57,922 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.router:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\ComModule\target\classes\META-INF\maven\healassist\server.router\pom.xml.
2015-03-20 10:17:58,036 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - The POM for healassist:server.router:jar:0.0.1-SNAPSHOT is missing, no dependency information available
2015-03-20 10:17:58,112 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.datapackage:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.datapackage\pom.xml.
2015-03-20 10:17:58,150 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.signaling:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.signaling\pom.xml.
2015-03-20 10:17:58,207 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.external.communication:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\server.external.communication\pom.xml.
2015-03-20 10:17:58,247 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.info.management.regsys:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\server.info.management.regsys\pom.xml.
2015-03-20 10:17:59,876 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: healassist:server.datapackage:0.0.1-SNAPSHOT @ C:\1-dev\1-ver-con\git-hub\HealAssist\healassist.server.datapackage\pom.xml.
